- name sven@i; moonlat -55.940335714665096; moonlng 144.33114616391987; score 320.8666773259318; timestamp 2018-05-26 15:08:45.045676; status received; version 2; 
- name sven@i; moonlat -4.2007605686158485; moonlng -46.41063965269518; score 324.4823502931232; timestamp 2018-05-26 15:08:46.765252; status received; version 2; 
- name sven@i; moonlat 18.982406256672043; moonlng -57.932092218535914; score 573.0843266945448; timestamp 2018-05-26 15:08:47.332825; status received; version 2; 
- name sven@i; moonlat 10.008180073702045; moonlng -74.3384922399059; score 605.0479661765032; timestamp 2018-05-26 15:08:52.651189; status received; version 2; 
- name sven@i; moonlat 15.149318418451035; moonlng -4.254246595501002; score 655.4552732618868; timestamp 2018-05-26 15:09:11.487877; status received; version 2; 
- name sven@i; moonlat 6.9494738051819525; moonlng 11.58053059040239; score 670.2853328164643; timestamp 2018-05-26 15:09:59.279078; status received; version 2; 
- name sven@i; moonlat 6.711967314292103; moonlng -22.897778634484382; score 671.072260452905; timestamp 2018-05-26 15:11:05.680080; status received; version 2; 
- name sven@i; moonlat -10.489757550195066; moonlng -46.865854750644104; score 232.3843308709936; timestamp 2018-05-26 15:13:56.771685; status received; version 2; 
- name sven@i; moonlat 42.54286359964007; moonlng 0.7233098816883086; score 286.78716041781905; timestamp 2018-05-26 15:13:58.456555; status received; version 2; 
- name sven@i; moonlat 30.361654940844158; moonlng -59.63834505915585; score 294.3540588736658; timestamp 2018-05-26 15:14:00.727951; status received; version 2; 
- name sven@i; moonlat 0.18082747042207714; moonlng 30.18082747042208; score 406.2887482779403; timestamp 2018-05-26 15:14:02.385974; status received; version 2; 
- name sven@i; moonlat 22.291724022026813; moonlng -16.88628940463329; score 553.6772790154749; timestamp 2018-05-26 15:14:03.491755; status received; version 2; 
- name sven@i; moonlat 30.089422360521013; moonlng -11.710766704322314; score 657.9027798365291; timestamp 2018-05-26 15:14:32.271095; status received; version 2; 
- name sven@i; moonlat 7.731722999521253; moonlng -0.90316126512064; score 689.4700978790952; timestamp 2018-05-26 15:15:41.515234; status received; version 2; 
